,Unnamed: 0,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,ID
635,658,Mitchell Robinson,C,23,NYK,72,62,25.7,3.6,4.8,0.761,0.0,0.0,,3.6,4.8,0.761,0.761,1.2,2.5,0.486,4.1,4.5,8.6,0.5,0.8,1.8,0.8,2.7,8.5,0.0,3.2,7.1,2.2,1.2,19.1,3.2,0.528,1.0,16.8,5.3,20.7,1.6,12.4,17.9,0.722,11.4,2.0,8.5,0.221,"$15,681,818",NYK,/players/r/robinmi01.html
636,659,Jeremiah Robinson-Earl,C,21,OKC,49,36,22.2,2.7,6.6,0.414,1.2,3.4,0.352,1.6,3.2,0.478,0.503,0.8,1.1,0.741,1.5,4.1,5.6,1.0,0.6,0.3,0.8,1.5,7.5,0.509,6.7,1.3,-2.2,-0.4,19.1,1.0,0.167,-1.9,7.0,0.4,11.7,1.3,10.1,13.0,0.526,15.4,-0.1,1.5,0.065,"$1,900,000",OKC,/players/r/robinje02.html
637,660,Isaiah Roby,PF,23,OKC,45,28,21.1,3.7,7.2,0.514,1.0,2.2,0.444,2.7,5.0,0.545,0.582,1.7,2.6,0.672,1.7,3.2,4.8,1.6,0.8,0.8,1.0,2.4,10.1,0.307,12.1,3.3,0.6,0.2,15.6,1.1,0.359,0.4,8.0,1.8,18.3,1.8,10.3,11.8,0.607,19.0,0.6,2.9,0.147,,,/players/r/robyis01.html
638,662,Rajon Rondo,PG,35,TOT,39,1,17.9,1.7,4.5,0.386,0.8,2.3,0.352,0.9,2.3,0.42,0.474,0.5,0.7,0.731,0.4,2.4,2.8,4.4,0.8,0.2,1.7,1.4,4.8,0.5,33.1,0.8,-1.7,0.7,14.4,0.8,0.148,-2.4,2.4,-0.1,10.9,2.1,26.6,8.5,0.496,16.0,0.1,0.7,0.048,,,
639,663,Rajon Rondo,PG,35,LAL,18,0,16.1,1.3,3.9,0.324,0.4,1.7,0.267,0.8,2.3,0.366,0.38,0.1,0.1,0.5,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1,0.423,29.9,1.5,-4.5,0.3,14.5,0.3,0.028,-4.8,3.7,-0.6,6.5,2.0,32.1,9.1,0.383,15.7,-0.2,-0.3,-0.053,,,
640,664,Rajon Rondo,PG,35,CLE,21,1,19.5,2.1,5.0,0.429,1.1,2.8,0.397,1.0,2.2,0.468,0.538,0.9,1.1,0.75,0.2,2.6,2.8,4.9,0.9,0.0,1.6,1.5,6.2,0.552,35.3,0.2,0.3,1.0,14.3,0.5,0.229,-0.7,1.4,0.5,13.9,2.2,22.7,8.0,0.567,16.2,0.2,1.0,0.119,,,
641,665,Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7.0,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0,0.336,27.5,1.9,2.3,0.0,9.8,0.7,0.113,2.3,3.5,0.8,16.9,1.7,11.9,6.6,0.541,22.5,0.7,1.4,0.108,,,/players/r/rosede01.html
642,666,Terrence Ross,SG,30,ORL,63,0,23.0,3.5,8.8,0.397,1.2,4.2,0.292,2.3,4.6,0.493,0.467,1.8,2.1,0.862,0.3,2.2,2.6,1.8,0.4,0.2,1.2,1.1,10.0,0.477,12.5,0.8,-3.7,-1.1,10.3,0.9,0.235,-2.5,1.5,-0.5,10.0,0.9,10.9,5.9,0.515,20.5,-0.6,0.3,0.011,,,/players/r/rosste01.html
643,667,Terry Rozier,SG,27,CHO,73,73,33.7,7.1,16.0,0.444,3.0,8.1,0.374,4.1,7.9,0.516,0.539,2.1,2.4,0.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3,0.508,19.7,1.0,1.7,-0.7,11.3,1.6,0.151,2.4,2.4,4.3,17.6,1.8,7.2,6.8,0.566,23.2,2.3,5.9,0.115,"$23,205,221",CHO,/players/r/roziete01.html
644,668,Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7.0,0.38,0.434,2.6,3.0,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1,0.423,34.6,0.6,0.2,1.2,14.1,1.4,0.251,-1.0,1.7,-0.1,14.0,2.5,16.5,8.0,0.488,24.9,0.5,1.3,0.064,"$6,146,342",CLE,/players/r/rubiori01.html
645,669,D'Angelo Russell,PG,25,MIN,65,65,32.0,6.2,15.0,0.411,2.7,8.0,0.34,3.5,7.0,0.492,0.502,3.0,3.7,0.825,0.4,2.9,3.3,7.1,1.0,0.3,2.5,2.0,18.1,0.531,33.1,1.0,0.8,-1.5,10.1,1.5,0.246,2.2,1.3,2.9,16.3,1.4,13.2,5.6,0.544,25.1,1.4,4.4,0.101,,,/players/r/russeda01.html
646,670,Matt Ryan,SF,24,BOS,1,0,5.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,-13.7,-3.8,0.0,0.0,0.0,-9.9,0.0,0.0,3.5,9.9,0.0,0.0,0.3,44.0,0.0,0.0,-0.25,,,/players/r/ryanma01.html
647,671,Domantas Sabonis,PF,25,TOT,62,61,34.5,7.1,12.5,0.573,0.6,2.0,0.312,6.5,10.5,0.623,0.598,4.0,5.4,0.741,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3,18.9,0.162,23.6,1.1,4.1,0.9,29.0,1.8,0.429,3.2,10.3,5.3,21.9,1.3,17.5,19.5,0.637,22.3,3.2,7.1,0.159,"$22,000,000",SAC,/players/s/sabondo01.html
648,672,Domantas Sabonis,PF,25,IND,47,46,34.7,7.0,12.1,0.58,0.7,2.3,0.324,6.3,9.9,0.639,0.61,4.1,5.5,0.74,3.3,8.8,12.1,5.0,1.0,0.5,3.0,3.1,18.9,0.189,22.2,1.2,4.6,1.0,28.6,1.3,0.452,3.6,10.4,4.4,22.2,1.4,17.3,19.4,0.649,21.7,2.7,5.7,0.168,"$22,000,000",SAC,/players/s/sabondo01.html
649,673,Domantas Sabonis,PF,25,SAC,15,15,33.6,7.5,13.5,0.554,0.3,1.1,0.235,7.2,12.3,0.584,0.564,3.7,4.9,0.743,3.1,9.3,12.3,5.8,0.9,0.3,3.5,3.8,18.9,0.084,28.0,0.9,2.3,0.5,30.3,0.5,0.366,1.8,9.8,0.9,21.0,1.2,18.1,20.0,0.603,24.4,0.5,1.4,0.132,"$22,000,000",SAC,/players/s/sabondo01.html
650,674,Olivier Sarr,C,22,OKC,22,2,19.1,2.6,4.6,0.574,0.6,1.3,0.448,2.0,3.3,0.625,0.639,1.1,1.3,0.828,1.5,2.7,4.2,0.9,0.3,0.7,1.0,2.4,7.0,0.287,6.9,3.3,-4.0,-1.3,14.6,0.3,0.287,-2.7,8.2,0.7,14.0,0.7,16.2,11.4,0.672,13.9,-0.2,1.0,0.116,,,/players/s/sarrol01.html
651,675,Tomáš Satoranský,SG-PG-SF,30,TOT,55,13,16.5,1.3,3.5,0.377,0.2,1.0,0.208,1.1,2.5,0.442,0.406,0.8,1.0,0.796,0.5,1.8,2.3,3.3,0.5,0.1,0.8,1.3,3.6,0.277,27.0,0.5,-3.7,-0.3,12.1,0.6,0.283,-3.3,3.3,0.5,10.2,1.6,17.6,7.7,0.461,12.6,-0.4,1.0,0.056,,,
