,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear
170,Cheick Diallo,C,25,DET,3,0,10.3,1.0,2.7,0.375,0.0,0.0,,1.0,2.7,0.375,0.375,1.7,2.0,0.833,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7,0.0,0.0,0.0,-7.5,-3.3,29.4,0.0,0.75,-4.2,13.3,0.0,12.3,1.6,8.6,20.9,0.517,16.1,0.0,0.1,0.108,,,,,2022,2021,2023
171,Hamidou Diallo,SG,23,DET,58,29,21.9,4.5,9.1,0.496,0.4,1.6,0.247,4.1,7.5,0.55,0.518,1.6,2.4,0.65,1.2,3.6,4.8,1.3,1.2,0.3,1.0,2.5,11.0,0.177,9.8,1.2,-0.5,0.7,18.7,1.5,0.266,-1.2,5.6,0.6,15.7,2.7,9.0,11.8,0.541,21.8,0.5,2.1,0.079,,,"$5,200,000",,2022,2021,2023
172,Gorgui Dieng,C,32,ATL,44,3,8.4,1.2,2.5,0.473,0.7,1.5,0.426,0.5,1.0,0.545,0.603,0.4,0.6,0.731,0.7,2.0,2.8,0.8,0.3,0.3,0.5,1.2,3.5,0.607,12.7,3.1,2.1,0.8,26.1,0.4,0.232,1.4,9.5,0.8,17.3,1.5,13.9,17.8,0.624,16.9,0.4,1.2,0.155,,,"$4,000,000",,2022,2021,2023
173,Spencer Dinwiddie,PG,28,TOT,67,51,29.6,4.6,11.0,0.416,1.7,4.9,0.339,2.9,6.0,0.479,0.493,2.9,3.8,0.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7,0.449,25.7,0.6,0.3,-0.4,13.0,1.4,0.343,0.8,2.6,2.7,15.1,1.1,10.9,7.8,0.543,21.4,1.1,4.1,0.098,"$20,357,143",BRK,"$17,142,857",$20357143,2022,2021,2023
174,Spencer Dinwiddie,PG,28,WAS,44,44,30.2,4.2,11.2,0.376,1.6,5.1,0.31,2.6,6.0,0.432,0.447,2.6,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6,0.459,27.5,0.4,-0.9,-0.7,14.0,0.7,0.291,-0.2,3.0,0.9,13.2,1.0,11.6,8.6,0.501,21.0,0.3,1.6,0.058,"$20,357,143",BRK,"$17,142,857",$20357143,2022,2021,2023
175,Spencer Dinwiddie,PG,28,DAL,23,7,28.3,5.3,10.6,0.498,1.8,4.5,0.404,3.4,6.0,0.568,0.584,3.4,4.7,0.725,0.4,2.7,3.1,3.9,0.7,0.3,1.3,1.9,15.8,0.428,22.0,0.8,2.9,0.1,10.8,0.7,0.449,2.8,1.5,1.8,19.0,1.3,9.6,6.2,0.624,22.3,0.8,2.5,0.182,"$20,357,143",BRK,"$17,142,857",$20357143,2022,2021,2023
176,Donte DiVincenzo,SG,25,TOT,42,1,23.9,2.8,8.0,0.351,1.8,5.2,0.339,1.0,2.8,0.373,0.461,1.7,2.0,0.843,1.0,3.1,4.0,2.8,1.1,0.2,1.7,1.6,9.0,0.649,16.1,0.7,-2.3,-0.5,14.0,0.9,0.247,-1.8,4.3,-0.1,11.3,2.3,16.2,9.1,0.51,18.9,-0.1,0.7,0.035,,,"$4,675,830",$10900000,2022,2021,2023
177,Donte DiVincenzo,SG,25,MIL,17,0,20.1,2.3,6.9,0.331,1.2,4.4,0.284,1.1,2.6,0.409,0.419,1.4,1.6,0.852,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,7.2,0.627,11.3,0.8,-5.5,-1.6,12.8,0.3,0.229,-3.8,5.7,-0.4,7.9,1.5,17.7,9.3,0.47,19.8,-0.3,-0.1,-0.009,,,"$4,675,830",$10900000,2022,2021,2023
178,Donte DiVincenzo,SG,25,SAC,25,1,26.6,3.2,8.7,0.362,2.1,5.8,0.368,1.0,3.0,0.351,0.484,1.9,2.2,0.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3,0.661,18.6,0.7,-0.6,0.2,14.5,0.6,0.257,-0.8,3.6,0.2,13.0,2.7,15.4,9.0,0.532,18.5,0.2,0.8,0.058,,,"$4,675,830",$10900000,2022,2021,2023
179,Luka Dončić,PG,22,DAL,65,65,35.4,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,0.406,46.0,1.4,8.2,1.8,26.0,3.8,0.349,6.4,2.7,3.8,25.1,1.6,15.3,14.3,0.571,37.4,5.9,7.6,0.159,"$40,064,220",DAL,"$10,174,391",$40064220,2022,2021,2023
